Region,Producto,Vendedor,Ventas
Central,Accesorios,David,8287
Central,Accesorios,Karen,6909
Central,Dispositivos,David,11420
Central,Dispositivos,Karen,12948
Central,Sistemas,David,20098
Central,Sistemas,Karen,30633
Este,Accesorios,Ana,9323
Este,Accesorios,Lucas,7667
Este,Dispositivos,Ana,10348
Este,Dispositivos,Lucas,9312
Este,Sistemas,Ana,13531
Este,Sistemas,Lucas,13374
Oeste,Accesorios,Kevin,4744
Oeste,Accesorios,Sara,5442
Oeste,Dispositivos,Kevin,10711
Oeste,Dispositivos,Sara,8780
Oeste,Sistemas,Kevin,32855
Oeste,Sistemas,Sara,23151
